Program,Solarize CT, Date of Application,Completed,Electric Utility,County,Municipality, Zip Code,Contractor,System Owner,System Financing,System Size (kW STC),Total System Costs,Total Incentive  Approved, Estimated Annual Production  (kWh) 
EPBB,No,5/6/2013,8/8/2013,Eversource Energy,Litchfield,Litchfield,06759,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,6.70,"$38,392.00","$9,419.00"," 7,630 "
EPBB,No,5/7/2013,2/22/2014,Eversource Energy,Fairfield,Danbury,06810,Ross Solar,Does Not Apply,Other Homeowner Purchase,15.08,"$70,948.00","$11,501.00"," 17,167 "
EPBB,Yes,5/7/2013,7/15/2013,Eversource Energy,Tolland,Coventry,06238,Encon,Does Not Apply,Other Homeowner Purchase,6.50,"$26,455.00","$5,807.00"," 7,402 "
PBI,No,5/7/2013,8/27/2013,Eversource Energy,Litchfield,Watertown,06795,RGS Energy,Kilowatt Systems,PPA,7.25,"$32,462.49","$10,936.80"," 8,256 "
EPBB,No,5/7/2013,7/2/2013,United Illuminating,New Haven,Milford,06460,EcoSmart Home Services,Does Not Apply,Other Homeowner Purchase,5.20,"$22,100.00","$7,735.00"," 5,922 "
EPBB,No,5/8/2013,3/12/2015,Eversource Energy,Hartford,Bristol,06010,EcoSmart Home Services,Does Not Apply,Other Homeowner Purchase,7.80,"$33,150.00","$9,886.00"," 8,883 "
EPBB,No,5/8/2013,6/28/2013,Eversource Energy,Fairfield,Ridgefield,06877,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,6.50,"$28,275.00","$9,238.00"," 7,402 "
PBI,No,5/9/2013,7/4/2013,Eversource Energy,Tolland,Somers,06071,Sungevity,Sungevity,Lease,4.42,"$24,442.60","$6,911.55"," 5,033 "
EPBB,No,5/13/2013,11/25/2013,Eversource Energy,Fairfield,Stamford,06905,Centurion Solar Energy,Does Not Apply,Other Homeowner Purchase,8.58,"$33,609.56","$1,620.00"," 9,771 "
PBI,No,5/13/2013,8/7/2013,United Illuminating,New Haven,Orange,06477,SolarCity,SolarCity,PPA,7.84,"$40,829.25","$10,524.83"," 8,928 "
PBI,No,5/13/2013,9/26/2015,United Illuminating,Fairfield,Stratford,06615,SolarCity,SolarCity,PPA,5.39,"$27,219.50","$8,356.95"," 6,138 "
EPBB,No,5/13/2013,9/20/2013,Eversource Energy,New London,Sprague,06330,Skyline Solar,Does Not Apply,Other Homeowner Purchase,7.28,"$29,224.00","$8,090.00"," 8,290 "
EPBB,Yes,5/13/2013,6/18/2013,Eversource Energy,Tolland,Mansfield,06268,C-TEC Solar,Does Not Apply,Other Homeowner Purchase,6.24,"$25,084.80","$8,779.00"," 7,106 "
EPBB,No,5/13/2013,11/15/2013,United Illuminating,Fairfield,Shelton,06484,C-TEC Solar,Does Not Apply,Other Homeowner Purchase,7.42,"$28,840.00","$9,639.00"," 8,450 "
EPBB,No,5/13/2013,8/7/2013,Eversource Energy,Middlesex,Chester,06412,EcoSmart Home Services,Does Not Apply,Other Homeowner Purchase,5.20,"$22,100.00","$7,003.00"," 5,922 "
EPBB,No,5/13/2013,6/6/2013,Eversource Energy,Fairfield,Monroe,06468,Renewable Resources,Does Not Apply,Other Homeowner Purchase,5.10,"$19,543.00","$6,840.00"," 5,808 "
EPBB,Yes,5/13/2013,6/6/2013,Eversource Energy,Tolland,Coventry,06238,Encon,Does Not Apply,Other Homeowner Purchase,11.00,"$38,170.00","$11,429.00"," 12,527 "
EPBB,No,5/13/2013,8/12/2013,Eversource Energy,Tolland,Columbia,06237,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,2.50,"$14,915.00","$3,184.00"," 2,847 "
PBI,No,5/13/2013,8/1/2013,Eversource Energy,Fairfield,Greenwich,06830,SolarCity,Does Not Apply,PPA,2.45,"$12,372.50","$2,761.20"," 2,790 "
EPBB,No,5/13/2013,9/12/2013,Eversource Energy,Windham,Scotland,06264,Skyline Solar,Does Not Apply,Other Homeowner Purchase,9.88,"$33,987.00","$9,074.00"," 11,251 "
PBI,No,5/13/2013,9/10/2013,Eversource Energy,Hartford,Plainville,06062,SolarCity,Does Not Apply,PPA,10.08,"$50,904.00","$14,664.60"," 11,479 "
EPBB,No,5/13/2013,8/20/2013,Eversource Energy,New London,Montville,06382,Skyline Solar,Does Not Apply,Other Homeowner Purchase,9.88,"$33,987.00","$8,842.00"," 11,251 "
EPBB,No,5/14/2013,9/4/2013,Eversource Energy,Middlesex,Chester,06412,Aegis Electrical Systems,Does Not Apply,Other Homeowner Purchase,5.50,"$25,000.00","$8,637.00"," 6,263 "
EPBB,No,5/14/2013,1/9/2014,Eversource Energy,Fairfield,New Fairfield,06812,Ross Solar,Does Not Apply,Other Homeowner Purchase,6.03,"$34,220.25","$5,981.00"," 6,867 "
PBI,No,5/14/2013,3/13/2014,United Illuminating,New Haven,Ansonia,06401,SolarCity,SolarCity,PPA,7.84,"$39,592.00","$11,130.08"," 8,928 "
EPBB,No,5/14/2013,12/13/2013,Eversource Energy,New Haven,Madison,06443,Aegis Electrical Systems,Does Not Apply,Other Homeowner Purchase,7.85,"$49,667.40","$9,980.00"," 8,937 "
PBI,No,5/14/2013,6/25/2013,Eversource Energy,Middlesex,East Haddam,06423,SolarCity,Does Not Apply,PPA,6.37,"$32,168.50","$8,122.28"," 7,254 "
