"Town","FIPS","Year","Measure Type","Variable","Value"
"Bethany","0900904580","2013-2017","Number","Median Home Value",359100
"Bethany","0900904580","2013-2017","Number","Margins of Error",20141
"Bethany","0900904580","2013-2017","Ratio to State Median","Median Home Value",1.33
"Bethany","0900904580","2013-2017","Ratio to State Median","Margins of Error",0.07
"Bethel","0900104720","2006-2010","Number","Median Home Value",366300
"Bethel","0900104720","2006-2010","Number","Margins of Error",8401
"Bethel","0900104720","2006-2010","Ratio to State Median","Median Home Value",1.24
"Bethel","0900104720","2006-2010","Ratio to State Median","Margins of Error",0.03
"Bethel","0900104720","2007-2011","Number","Median Home Value",359200
"Bethel","0900104720","2007-2011","Number","Margins of Error",8325
"Bethel","0900104720","2007-2011","Ratio to State Median","Median Home Value",1.23
"Bethel","0900104720","2007-2011","Ratio to State Median","Margins of Error",0.03
"Bethel","0900104720","2008-2012","Number","Median Home Value",353600
"Bethel","0900104720","2008-2012","Number","Margins of Error",8479
"Bethel","0900104720","2008-2012","Ratio to State Median","Median Home Value",1.24
"Bethel","0900104720","2008-2012","Ratio to State Median","Margins of Error",0.03
"Bethel","0900104720","2009-2013","Number","Median Home Value",342400
"Bethel","0900104720","2009-2013","Number","Margins of Error",9248
"Bethel","0900104720","2009-2013","Ratio to State Median","Median Home Value",1.23
"Bethel","0900104720","2009-2013","Ratio to State Median","Margins of Error",0.03
"Bethel","0900104720","2010-2014","Number","Median Home Value",337000
"Bethel","0900104720","2010-2014","Number","Margins of Error",10093
"Bethel","0900104720","2010-2014","Ratio to State Median","Median Home Value",1.23
"Bethel","0900104720","2010-2014","Ratio to State Median","Margins of Error",0.04
"Bethel","0900104720","2011-2015","Number","Median Home Value",329700
"Bethel","0900104720","2011-2015","Number","Margins of Error",9080
"Bethel","0900104720","2011-2015","Ratio to State Median","Median Home Value",1.22
"Bethel","0900104720","2011-2015","Ratio to State Median","Margins of Error",0.03
"Bethel","0900104720","2012-2016","Number","Median Home Value",335800
"Bethel","0900104720","2012-2016","Number","Margins of Error",9592
"Bethel","0900104720","2012-2016","Ratio to State Median","Median Home Value",1.25
"Bethel","0900104720","2012-2016","Ratio to State Median","Margins of Error",0.04
"Bethel","0900104720","2013-2017","Number","Median Home Value",333900
"Bethel","0900104720","2013-2017","Number","Margins of Error",8357
"Bethel","0900104720","2013-2017","Ratio to State Median","Median Home Value",1.24
"Bethel","0900104720","2013-2017","Ratio to State Median","Margins of Error",0.03
"Bethlehem","0900504930","2006-2010","Number","Median Home Value",407900
"Bethlehem","0900504930","2006-2010","Number","Margins of Error",24874
"Bethlehem","0900504930","2006-2010","Ratio to State Median","Median Home Value",1.38
"Bethlehem","0900504930","2006-2010","Ratio to State Median","Margins of Error",0.08
"Bethlehem","0900504930","2007-2011","Number","Median Home Value",388600
"Bethlehem","0900504930","2007-2011","Number","Margins of Error",26634
"Bethlehem","0900504930","2007-2011","Ratio to State Median","Median Home Value",1.33
"Bethlehem","0900504930","2007-2011","Ratio to State Median","Margins of Error",0.09
"Bethlehem","0900504930","2008-2012","Number","Median Home Value",365900
"Bethlehem","0900504930","2008-2012","Number","Margins of Error",26238
"Bethlehem","0900504930","2008-2012","Ratio to State Median","Median Home Value",1.28
"Bethlehem","0900504930","2008-2012","Ratio to State Median","Margins of Error",0.09
"Bethlehem","0900504930","2009-2013","Number","Median Home Value",360900
"Bethlehem","0900504930","2009-2013","Number","Margins of Error",23012
"Bethlehem","0900504930","2009-2013","Ratio to State Median","Median Home Value",1.29
"Bethlehem","0900504930","2009-2013","Ratio to State Median","Margins of Error",0.08
"Bethlehem","0900504930","2010-2014","Number","Median Home Value",359600
"Bethlehem","0900504930","2010-2014","Number","Margins of Error",24636
"Bethlehem","0900504930","2010-2014","Ratio to State Median","Median Home Value",1.31
"Bethlehem","0900504930","2010-2014","Ratio to State Median","Margins of Error",0.09
"Bethlehem","0900504930","2011-2015","Number","Median Home Value",342300
"Bethlehem","0900504930","2011-2015","Number","Margins of Error",23049
"Bethlehem","0900504930","2011-2015","Ratio to State Median","Median Home Value",1.27
"Bethlehem","0900504930","2011-2015","Ratio to State Median","Margins of Error",0.09
"Bethlehem","0900504930","2012-2016","Number","Median Home Value",351200
"Bethlehem","0900504930","2012-2016","Number","Margins of Error",22837
"Bethlehem","0900504930","2012-2016","Ratio to State Median","Median Home Value",1.3
"Bethlehem","0900504930","2012-2016","Ratio to State Median","Margins of Error",0.08
"Bethlehem","0900504930","2013-2017","Number","Median Home Value",353300
"Bethlehem","0900504930","2013-2017","Number","Margins of Error",22329
"Bethlehem","0900504930","2013-2017","Ratio to State Median","Median Home Value",1.31
"Bethlehem","0900504930","2013-2017","Ratio to State Median","Margins of Error",0.08
"Bloomfield","0900305910","2006-2010","Number","Median Home Value",223200
"Bloomfield","0900305910","2006-2010","Number","Margins of Error",7481
"Bloomfield","0900305910","2006-2010","Ratio to State Median","Median Home Value",0.75
"Bloomfield","0900305910","2006-2010","Ratio to State Median","Margins of Error",0.03
"Bloomfield","0900305910","2007-2011","Number","Median Home Value",225900
"Bloomfield","0900305910","2007-2011","Number","Margins of Error",7661
"Bloomfield","0900305910","2007-2011","Ratio to State Median","Median Home Value",0.77
"Bloomfield","0900305910","2007-2011","Ratio to State Median","Margins of Error",0.03
"Bloomfield","0900305910","2008-2012","Number","Median Home Value",222700
"Bloomfield","0900305910","2008-2012","Number","Margins of Error",8328
"Bloomfield","0900305910","2008-2012","Ratio to State Median","Median Home Value",0.78
"Bloomfield","0900305910","2008-2012","Ratio to State Median","Margins of Error",0.03
"Bloomfield","0900305910","2009-2013","Number","Median Home Value",214800
"Bloomfield","0900305910","2009-2013","Number","Margins of Error",7977
"Bloomfield","0900305910","2009-2013","Ratio to State Median","Median Home Value",0.77
"Bloomfield","0900305910","2009-2013","Ratio to State Median","Margins of Error",0.03
"Bloomfield","0900305910","2010-2014","Number","Median Home Value",214800
"Bloomfield","0900305910","2010-2014","Number","Margins of Error",7658
"Bloomfield","0900305910","2010-2014","Ratio to State Median","Median Home Value",0.78
"Bloomfield","0900305910","2010-2014","Ratio to State Median","Margins of Error",0.03
"Bloomfield","0900305910","2011-2015","Number","Median Home Value",207900
"Bloomfield","0900305910","2011-2015","Number","Margins of Error",9485
"Bloomfield","0900305910","2011-2015","Ratio to State Median","Median Home Value",0.77
"Bloomfield","0900305910","2011-2015","Ratio to State Median","Margins of Error",0.04
"Bloomfield","0900305910","2012-2016","Number","Median Home Value",211800
"Bloomfield","0900305910","2012-2016","Number","Margins of Error",8794
"Bloomfield","0900305910","2012-2016","Ratio to State Median","Median Home Value",0.79
"Bloomfield","0900305910","2012-2016","Ratio to State Median","Margins of Error",0.03
"Bloomfield","0900305910","2013-2017","Number","Median Home Value",211300
"Bloomfield","0900305910","2013-2017","Number","Margins of Error",8379
"Bloomfield","0900305910","2013-2017","Ratio to State Median","Median Home Value",0.78
"Bloomfield","0900305910","2013-2017","Ratio to State Median","Margins of Error",0.03
"Bolton","0901306260","2006-2010","Number","Median Home Value",297800
"Bolton","0901306260","2006-2010","Number","Margins of Error",18248
"Bolton","0901306260","2006-2010","Ratio to State Median","Median Home Value",1
"Bolton","0901306260","2006-2010","Ratio to State Median","Margins of Error",0.06
"Bolton","0901306260","2007-2011","Number","Median Home Value",293400
"Bolton","0901306260","2007-2011","Number","Margins of Error",16031
"Bolton","0901306260","2007-2011","Ratio to State Median","Median Home Value",1
"Bolton","0901306260","2007-2011","Ratio to State Median","Margins of Error",0.05
"Bolton","0901306260","2008-2012","Number","Median Home Value",287300
"Bolton","0901306260","2008-2012","Number","Margins of Error",14598
"Bolton","0901306260","2008-2012","Ratio to State Median","Median Home Value",1
"Bolton","0901306260","2008-2012","Ratio to State Median","Margins of Error",0.05
"Bolton","0901306260","2009-2013","Number","Median Home Value",289100
"Bolton","0901306260","2009-2013","Number","Margins of Error",16063
"Bolton","0901306260","2009-2013","Ratio to State Median","Median Home Value",1.04
"Bolton","0901306260","2009-2013","Ratio to State Median","Margins of Error",0.06
"Bolton","0901306260","2010-2014","Number","Median Home Value",289300
"Bolton","0901306260","2010-2014","Number","Margins of Error",16488
"Bolton","0901306260","2010-2014","Ratio to State Median","Median Home Value",1.05
"Bolton","0901306260","2010-2014","Ratio to State Median","Margins of Error",0.06
"Bolton","0901306260","2011-2015","Number","Median Home Value",293100
"Bolton","0901306260","2011-2015","Number","Margins of Error",17322
"Bolton","0901306260","2011-2015","Ratio to State Median","Median Home Value",1.08
"Bolton","0901306260","2011-2015","Ratio to State Median","Margins of Error",0.06
"Bolton","0901306260","2012-2016","Number","Median Home Value",292900
"Bolton","0901306260","2012-2016","Number","Margins of Error",17195
"Bolton","0901306260","2012-2016","Ratio to State Median","Median Home Value",1.09
"Bolton","0901306260","2012-2016","Ratio to State Median","Margins of Error",0.06
"Bolton","0901306260","2013-2017","Number","Median Home Value",288200
"Bolton","0901306260","2013-2017","Number","Margins of Error",12574
"Bolton","0901306260","2013-2017","Ratio to State Median","Median Home Value",1.07
"Bolton","0901306260","2013-2017","Ratio to State Median","Margins of Error",0.05
"Bozrah","0901106820","2006-2010","Number","Median Home Value",260600
"Bozrah","0901106820","2006-2010","Number","Margins of Error",14531
"Bozrah","0901106820","2006-2010","Ratio to State Median","Median Home Value",0.88
"Bozrah","0901106820","2006-2010","Ratio to State Median","Margins of Error",0.05
"Bozrah","0901106820","2007-2011","Number","Median Home Value",261200
"Bozrah","0901106820","2007-2011","Number","Margins of Error",14698
"Bozrah","0901106820","2007-2011","Ratio to State Median","Median Home Value",0.89
"Bozrah","0901106820","2007-2011","Ratio to State Median","Margins of Error",0.05
"Bozrah","0901106820","2008-2012","Number","Median Home Value",262400
"Bozrah","0901106820","2008-2012","Number","Margins of Error",15676
"Bozrah","0901106820","2008-2012","Ratio to State Median","Median Home Value",0.92
"Bozrah","0901106820","2008-2012","Ratio to State Median","Margins of Error",0.05
"Bozrah","0901106820","2009-2013","Number","Median Home Value",242600
"Bozrah","0901106820","2009-2013","Number","Margins of Error",12936
"Bozrah","0901106820","2009-2013","Ratio to State Median","Median Home Value",0.87
"Bozrah","0901106820","2009-2013","Ratio to State Median","Margins of Error",0.05
"Bozrah","0901106820","2010-2014","Number","Median Home Value",233900
"Bozrah","0901106820","2010-2014","Number","Margins of Error",11372
"Bozrah","0901106820","2010-2014","Ratio to State Median","Median Home Value",0.85
"Bozrah","0901106820","2010-2014","Ratio to State Median","Margins of Error",0.04
"Bozrah","0901106820","2011-2015","Number","Median Home Value",236800
