"Town","FIPS","Year","Measure Type","Variable","Value"
"Southington","0900370550","2006-2010","Ratio to State Median","Median Home Value",0.94
"Southington","0900370550","2006-2010","Ratio to State Median","Margins of Error",0.02
"Southington","0900370550","2007-2011","Number","Median Home Value",278100
"Southington","0900370550","2007-2011","Number","Margins of Error",6642
"Southington","0900370550","2007-2011","Ratio to State Median","Median Home Value",0.95
"Southington","0900370550","2007-2011","Ratio to State Median","Margins of Error",0.02
"Southington","0900370550","2008-2012","Number","Median Home Value",270400
"Southington","0900370550","2008-2012","Number","Margins of Error",5603
"Southington","0900370550","2008-2012","Ratio to State Median","Median Home Value",0.95
"Southington","0900370550","2008-2012","Ratio to State Median","Margins of Error",0.02
"Southington","0900370550","2009-2013","Number","Median Home Value",267200
"Southington","0900370550","2009-2013","Number","Margins of Error",6931
"Southington","0900370550","2009-2013","Ratio to State Median","Median Home Value",0.96
"Southington","0900370550","2009-2013","Ratio to State Median","Margins of Error",0.03
"Southington","0900370550","2010-2014","Number","Median Home Value",263300
"Southington","0900370550","2010-2014","Number","Margins of Error",6940
"Southington","0900370550","2010-2014","Ratio to State Median","Median Home Value",0.96
"Southington","0900370550","2010-2014","Ratio to State Median","Margins of Error",0.03
"Southington","0900370550","2011-2015","Number","Median Home Value",270300
"Southington","0900370550","2011-2015","Number","Margins of Error",6161
"Southington","0900370550","2011-2015","Ratio to State Median","Median Home Value",1
"Southington","0900370550","2011-2015","Ratio to State Median","Margins of Error",0.02
"Southington","0900370550","2012-2016","Number","Median Home Value",267800
"Southington","0900370550","2012-2016","Number","Margins of Error",6183
"Southington","0900370550","2012-2016","Ratio to State Median","Median Home Value",0.99
"Southington","0900370550","2012-2016","Ratio to State Median","Margins of Error",0.02
"Southington","0900370550","2013-2017","Number","Median Home Value",271900
"Southington","0900370550","2013-2017","Number","Margins of Error",6504
"Southington","0900370550","2013-2017","Ratio to State Median","Median Home Value",1.01
"Southington","0900370550","2013-2017","Ratio to State Median","Margins of Error",0.02
"Sprague","0901171670","2006-2010","Number","Median Home Value",230700
"Sprague","0901171670","2006-2010","Number","Margins of Error",21432
"Sprague","0901171670","2006-2010","Ratio to State Median","Median Home Value",0.78
"Sprague","0901171670","2006-2010","Ratio to State Median","Margins of Error",0.07
"Sprague","0901171670","2007-2011","Number","Median Home Value",216800
"Sprague","0901171670","2007-2011","Number","Margins of Error",33798
"Sprague","0901171670","2007-2011","Ratio to State Median","Median Home Value",0.74
"Sprague","0901171670","2007-2011","Ratio to State Median","Margins of Error",0.12
"Sprague","0901171670","2008-2012","Number","Median Home Value",230000
"Sprague","0901171670","2008-2012","Number","Margins of Error",25391
"Sprague","0901171670","2008-2012","Ratio to State Median","Median Home Value",0.8
"Sprague","0901171670","2008-2012","Ratio to State Median","Margins of Error",0.09
"Sprague","0901171670","2009-2013","Number","Median Home Value",207900
"Sprague","0901171670","2009-2013","Number","Margins of Error",27851
"Sprague","0901171670","2009-2013","Ratio to State Median","Median Home Value",0.75
"Sprague","0901171670","2009-2013","Ratio to State Median","Margins of Error",0.1
"Sprague","0901171670","2010-2014","Number","Median Home Value",202900
"Sprague","0901171670","2010-2014","Number","Margins of Error",22281
"Sprague","0901171670","2010-2014","Ratio to State Median","Median Home Value",0.74
"Sprague","0901171670","2010-2014","Ratio to State Median","Margins of Error",0.08
"Sprague","0901171670","2011-2015","Number","Median Home Value",215400
"Sprague","0901171670","2011-2015","Number","Margins of Error",23337
"Sprague","0901171670","2011-2015","Ratio to State Median","Median Home Value",0.8
"Sprague","0901171670","2011-2015","Ratio to State Median","Margins of Error",0.09
"Sprague","0901171670","2012-2016","Number","Median Home Value",227700
"Sprague","0901171670","2012-2016","Number","Margins of Error",26860
"Sprague","0901171670","2012-2016","Ratio to State Median","Median Home Value",0.85
"Sprague","0901171670","2012-2016","Ratio to State Median","Margins of Error",0.1
"Sprague","0901171670","2013-2017","Number","Median Home Value",217100
"Sprague","0901171670","2013-2017","Number","Margins of Error",20503
"Sprague","0901171670","2013-2017","Ratio to State Median","Median Home Value",0.8
"Sprague","0901171670","2013-2017","Ratio to State Median","Margins of Error",0.08
"Stafford","0901372090","2006-2010","Number","Median Home Value",230500
"Stafford","0901372090","2006-2010","Number","Margins of Error",12558
"Stafford","0901372090","2006-2010","Ratio to State Median","Median Home Value",0.78
"Stafford","0901372090","2006-2010","Ratio to State Median","Margins of Error",0.04
"Stafford","0901372090","2007-2011","Number","Median Home Value",223800
"Stafford","0901372090","2007-2011","Number","Margins of Error",12705
"Stafford","0901372090","2007-2011","Ratio to State Median","Median Home Value",0.76
"Stafford","0901372090","2007-2011","Ratio to State Median","Margins of Error",0.04
"Stafford","0901372090","2008-2012","Number","Median Home Value",206600
"Stafford","0901372090","2008-2012","Number","Margins of Error",14356
"Stafford","0901372090","2008-2012","Ratio to State Median","Median Home Value",0.72
"Stafford","0901372090","2008-2012","Ratio to State Median","Margins of Error",0.05
"Stafford","0901372090","2009-2013","Number","Median Home Value",196100
"Stafford","0901372090","2009-2013","Number","Margins of Error",9644
"Stafford","0901372090","2009-2013","Ratio to State Median","Median Home Value",0.7
"Stafford","0901372090","2009-2013","Ratio to State Median","Margins of Error",0.03
"Stafford","0901372090","2010-2014","Number","Median Home Value",198500
"Stafford","0901372090","2010-2014","Number","Margins of Error",10642
"Stafford","0901372090","2010-2014","Ratio to State Median","Median Home Value",0.72
"Stafford","0901372090","2010-2014","Ratio to State Median","Margins of Error",0.04
"Stafford","0901372090","2011-2015","Number","Median Home Value",190300
"Stafford","0901372090","2011-2015","Number","Margins of Error",9855
"Stafford","0901372090","2011-2015","Ratio to State Median","Median Home Value",0.7
"Stafford","0901372090","2011-2015","Ratio to State Median","Margins of Error",0.04
"Stafford","0901372090","2012-2016","Number","Median Home Value",193400
"Stafford","0901372090","2012-2016","Number","Margins of Error",10354
"Stafford","0901372090","2012-2016","Ratio to State Median","Median Home Value",0.72
"Stafford","0901372090","2012-2016","Ratio to State Median","Margins of Error",0.04
"Stafford","0901372090","2013-2017","Number","Median Home Value",189600
"Stafford","0901372090","2013-2017","Number","Margins of Error",9139
"Stafford","0901372090","2013-2017","Ratio to State Median","Median Home Value",0.7
"Stafford","0901372090","2013-2017","Ratio to State Median","Margins of Error",0.03
"Stamford","0900173070","2006-2010","Number","Median Home Value",574900
"Stamford","0900173070","2006-2010","Number","Margins of Error",12588
"Stamford","0900173070","2006-2010","Ratio to State Median","Median Home Value",1.94
"Stamford","0900173070","2006-2010","Ratio to State Median","Margins of Error",0.04
"Stamford","0900173070","2007-2011","Number","Median Home Value",571400
"Stamford","0900173070","2007-2011","Number","Margins of Error",11333
"Stamford","0900173070","2007-2011","Ratio to State Median","Median Home Value",1.95
"Stamford","0900173070","2007-2011","Ratio to State Median","Margins of Error",0.04
"Stamford","0900173070","2008-2012","Number","Median Home Value",537300
"Stamford","0900173070","2008-2012","Number","Margins of Error",12518
"Stamford","0900173070","2008-2012","Ratio to State Median","Median Home Value",1.88
"Stamford","0900173070","2008-2012","Ratio to State Median","Margins of Error",0.04
"Stamford","0900173070","2009-2013","Number","Median Home Value",515400
"Stamford","0900173070","2009-2013","Number","Margins of Error",13908
"Stamford","0900173070","2009-2013","Ratio to State Median","Median Home Value",1.85
"Stamford","0900173070","2009-2013","Ratio to State Median","Margins of Error",0.05
"Stamford","0900173070","2010-2014","Number","Median Home Value",506000
"Stamford","0900173070","2010-2014","Number","Margins of Error",13175
"Stamford","0900173070","2010-2014","Ratio to State Median","Median Home Value",1.84
"Stamford","0900173070","2010-2014","Ratio to State Median","Margins of Error",0.05
"Stamford","0900173070","2011-2015","Number","Median Home Value",501200
"Stamford","0900173070","2011-2015","Number","Margins of Error",12678
"Stamford","0900173070","2011-2015","Ratio to State Median","Median Home Value",1.85
"Stamford","0900173070","2011-2015","Ratio to State Median","Margins of Error",0.05
"Stamford","0900173070","2012-2016","Number","Median Home Value",504200
"Stamford","0900173070","2012-2016","Number","Margins of Error",14242
"Stamford","0900173070","2012-2016","Ratio to State Median","Median Home Value",1.87
"Stamford","0900173070","2012-2016","Ratio to State Median","Margins of Error",0.05
"Stamford","0900173070","2013-2017","Number","Median Home Value",516000
"Stamford","0900173070","2013-2017","Number","Margins of Error",13764
"Stamford","0900173070","2013-2017","Ratio to State Median","Median Home Value",1.91
"Stamford","0900173070","2013-2017","Ratio to State Median","Margins of Error",0.05
"Sterling","0901573420","2006-2010","Number","Median Home Value",260000
"Sterling","0901573420","2006-2010","Number","Margins of Error",18894
"Sterling","0901573420","2006-2010","Ratio to State Median","Median Home Value",0.88
"Sterling","0901573420","2006-2010","Ratio to State Median","Margins of Error",0.06
"Sterling","0901573420","2007-2011","Number","Median Home Value",261200
"Sterling","0901573420","2007-2011","Number","Margins of Error",19007
"Sterling","0901573420","2007-2011","Ratio to State Median","Median Home Value",0.89
"Sterling","0901573420","2007-2011","Ratio to State Median","Margins of Error",0.06
"Sterling","0901573420","2008-2012","Number","Median Home Value",243700
"Sterling","0901573420","2008-2012","Number","Margins of Error",21443
"Sterling","0901573420","2008-2012","Ratio to State Median","Median Home Value",0.85
"Sterling","0901573420","2008-2012","Ratio to State Median","Margins of Error",0.08
"Sterling","0901573420","2009-2013","Number","Median Home Value",219100
"Sterling","0901573420","2009-2013","Number","Margins of Error",20117
"Sterling","0901573420","2009-2013","Ratio to State Median","Median Home Value",0.79
"Sterling","0901573420","2009-2013","Ratio to State Median","Margins of Error",0.07
"Sterling","0901573420","2010-2014","Number","Median Home Value",224400
"Sterling","0901573420","2010-2014","Number","Margins of Error",20832
"Sterling","0901573420","2010-2014","Ratio to State Median","Median Home Value",0.82
"Sterling","0901573420","2010-2014","Ratio to State Median","Margins of Error",0.08
"Sterling","0901573420","2011-2015","Number","Median Home Value",208800
"Sterling","0901573420","2011-2015","Number","Margins of Error",22667
"Sterling","0901573420","2011-2015","Ratio to State Median","Median Home Value",0.77
"Sterling","0901573420","2011-2015","Ratio to State Median","Margins of Error",0.08
"Sterling","0901573420","2012-2016","Number","Median Home Value",196600
"Sterling","0901573420","2012-2016","Number","Margins of Error",15193
"Sterling","0901573420","2012-2016","Ratio to State Median","Median Home Value",0.73
"Sterling","0901573420","2012-2016","Ratio to State Median","Margins of Error",0.06
"Sterling","0901573420","2013-2017","Number","Median Home Value",207000
"Sterling","0901573420","2013-2017","Number","Margins of Error",19354
"Sterling","0901573420","2013-2017","Ratio to State Median","Median Home Value",0.77
"Sterling","0901573420","2013-2017","Ratio to State Median","Margins of Error",0.07
"Stonington","0901173770","2006-2010","Number","Median Home Value",345900
"Stonington","0901173770","2006-2010","Number","Margins of Error",17839
"Stonington","0901173770","2006-2010","Ratio to State Median","Median Home Value",1.17
"Stonington","0901173770","2006-2010","Ratio to State Median","Margins of Error",0.06
"Stonington","0901173770","2007-2011","Number","Median Home Value",343100
"Stonington","0901173770","2007-2011","Number","Margins of Error",16833
"Stonington","0901173770","2007-2011","Ratio to State Median","Median Home Value",1.17
"Stonington","0901173770","2007-2011","Ratio to State Median","Margins of Error",0.06
"Stonington","0901173770","2008-2012","Number","Median Home Value",352800
"Stonington","0901173770","2008-2012","Number","Margins of Error",15519
"Stonington","0901173770","2008-2012","Ratio to State Median","Median Home Value",1.23
"Stonington","0901173770","2008-2012","Ratio to State Median","Margins of Error",0.05
"Stonington","0901173770","2009-2013","Number","Median Home Value",342200
"Stonington","0901173770","2009-2013","Number","Margins of Error",18135
"Stonington","0901173770","2009-2013","Ratio to State Median","Median Home Value",1.23
"Stonington","0901173770","2009-2013","Ratio to State Median","Margins of Error",0.07
"Stonington","0901173770","2010-2014","Number","Median Home Value",329200
"Stonington","0901173770","2010-2014","Number","Margins of Error",16355
"Stonington","0901173770","2010-2014","Ratio to State Median","Median Home Value",1.2
"Stonington","0901173770","2010-2014","Ratio to State Median","Margins of Error",0.06
"Stonington","0901173770","2011-2015","Number","Median Home Value",326600
"Stonington","0901173770","2011-2015","Number","Margins of Error",14626
"Stonington","0901173770","2011-2015","Ratio to State Median","Median Home Value",1.21
"Stonington","0901173770","2011-2015","Ratio to State Median","Margins of Error",0.05
"Stonington","0901173770","2012-2016","Number","Median Home Value",315300
"Stonington","0901173770","2012-2016","Number","Margins of Error",18655
"Stonington","0901173770","2012-2016","Ratio to State Median","Median Home Value",1.17
"Stonington","0901173770","2012-2016","Ratio to State Median","Margins of Error",0.07
"Stonington","0901173770","2013-2017","Number","Median Home Value",315800
"Stonington","0901173770","2013-2017","Number","Margins of Error",17161
"Stonington","0901173770","2013-2017","Ratio to State Median","Median Home Value",1.17
"Stonington","0901173770","2013-2017","Ratio to State Median","Margins of Error",0.06
"Stratford","0900174190","2006-2010","Number","Median Home Value",299600
"Stratford","0900174190","2006-2010","Number","Margins of Error",6290
"Stratford","0900174190","2006-2010","Ratio to State Median","Median Home Value",1.01
"Stratford","0900174190","2006-2010","Ratio to State Median","Margins of Error",0.02
"Stratford","0900174190","2007-2011","Number","Median Home Value",289300
"Stratford","0900174190","2007-2011","Number","Margins of Error",5193
"Stratford","0900174190","2007-2011","Ratio to State Median","Median Home Value",0.99
"Stratford","0900174190","2007-2011","Ratio to State Median","Margins of Error",0.02
"Stratford","0900174190","2008-2012","Number","Median Home Value",276200
"Stratford","0900174190","2008-2012","Number","Margins of Error",4461
"Stratford","0900174190","2008-2012","Ratio to State Median","Median Home Value",0.97
"Stratford","0900174190","2008-2012","Ratio to State Median","Margins of Error",0.02
"Stratford","0900174190","2009-2013","Number","Median Home Value",262000
"Stratford","0900174190","2009-2013","Number","Margins of Error",4617
"Stratford","0900174190","2009-2013","Ratio to State Median","Median Home Value",0.94
"Stratford","0900174190","2009-2013","Ratio to State Median","Margins of Error",0.02
"Stratford","0900174190","2010-2014","Number","Median Home Value",256900
"Stratford","0900174190","2010-2014","Number","Margins of Error",4329
"Stratford","0900174190","2010-2014","Ratio to State Median","Median Home Value",0.94
"Stratford","0900174190","2010-2014","Ratio to State Median","Margins of Error",0.02
"Stratford","0900174190","2011-2015","Number","Median Home Value",249900
"Stratford","0900174190","2011-2015","Number","Margins of Error",6265
"Stratford","0900174190","2011-2015","Ratio to State Median","Median Home Value",0.92
"Stratford","0900174190","2011-2015","Ratio to State Median","Margins of Error",0.02
"Stratford","0900174190","2012-2016","Number","Median Home Value",249600
"Stratford","0900174190","2012-2016","Number","Margins of Error",4794
"Stratford","0900174190","2012-2016","Ratio to State Median","Median Home Value",0.93
"Stratford","0900174190","2012-2016","Ratio to State Median","Margins of Error",0.02
"Stratford","0900174190","2013-2017","Number","Median Home Value",250700
"Stratford","0900174190","2013-2017","Number","Margins of Error",5267
"Stratford","0900174190","2013-2017","Ratio to State Median","Median Home Value",0.93
"Stratford","0900174190","2013-2017","Ratio to State Median","Margins of Error",0.02
"Suffield","0900374540","2006-2010","Number","Median Home Value",330900
"Suffield","0900374540","2006-2010","Number","Margins of Error",16335
"Suffield","0900374540","2006-2010","Ratio to State Median","Median Home Value",1.12
"Suffield","0900374540","2006-2010","Ratio to State Median","Margins of Error",0.06
"Suffield","0900374540","2007-2011","Number","Median Home Value",333100
"Suffield","0900374540","2007-2011","Number","Margins of Error",16886
"Suffield","0900374540","2007-2011","Ratio to State Median","Median Home Value",1.14
"Suffield","0900374540","2007-2011","Ratio to State Median","Margins of Error",0.06
"Suffield","0900374540","2008-2012","Number","Median Home Value",326300
"Suffield","0900374540","2008-2012","Number","Margins of Error",15916
"Suffield","0900374540","2008-2012","Ratio to State Median","Median Home Value",1.14
"Suffield","0900374540","2008-2012","Ratio to State Median","Margins of Error",0.06
"Suffield","0900374540","2009-2013","Number","Median Home Value",318000
"Suffield","0900374540","2009-2013","Number","Margins of Error",16994
"Suffield","0900374540","2009-2013","Ratio to State Median","Median Home Value",1.14
"Suffield","0900374540","2009-2013","Ratio to State Median","Margins of Error",0.06
"Suffield","0900374540","2010-2014","Number","Median Home Value",313600
"Suffield","0900374540","2010-2014","Number","Margins of Error",17367
"Suffield","0900374540","2010-2014","Ratio to State Median","Median Home Value",1.14
"Suffield","0900374540","2010-2014","Ratio to State Median","Margins of Error",0.06
"Suffield","0900374540","2011-2015","Number","Median Home Value",301600
"Suffield","0900374540","2011-2015","Number","Margins of Error",18272
"Suffield","0900374540","2011-2015","Ratio to State Median","Median Home Value",1.11
"Suffield","0900374540","2011-2015","Ratio to State Median","Margins of Error",0.07
"Suffield","0900374540","2012-2016","Number","Median Home Value",295200
"Suffield","0900374540","2012-2016","Number","Margins of Error",13761
"Suffield","0900374540","2012-2016","Ratio to State Median","Median Home Value",1.1
"Suffield","0900374540","2012-2016","Ratio to State Median","Margins of Error",0.05
"Suffield","0900374540","2013-2017","Number","Median Home Value",293300
"Suffield","0900374540","2013-2017","Number","Margins of Error",11586
"Suffield","0900374540","2013-2017","Ratio to State Median","Median Home Value",1.09
"Suffield","0900374540","2013-2017","Ratio to State Median","Margins of Error",0.04
"Thomaston","0900575730","2006-2010","Number","Median Home Value",233300
"Thomaston","0900575730","2006-2010","Number","Margins of Error",14678
"Thomaston","0900575730","2006-2010","Ratio to State Median","Median Home Value",0.79
"Thomaston","0900575730","2006-2010","Ratio to State Median","Margins of Error",0.05
"Thomaston","0900575730","2007-2011","Number","Median Home Value",236800
"Thomaston","0900575730","2007-2011","Number","Margins of Error",14004
"Thomaston","0900575730","2007-2011","Ratio to State Median","Median Home Value",0.81
"Thomaston","0900575730","2007-2011","Ratio to State Median","Margins of Error",0.05
"Thomaston","0900575730","2008-2012","Number","Median Home Value",230300
"Thomaston","0900575730","2008-2012","Number","Margins of Error",14794
"Thomaston","0900575730","2008-2012","Ratio to State Median","Median Home Value",0.81
"Thomaston","0900575730","2008-2012","Ratio to State Median","Margins of Error",0.05
"Thomaston","0900575730","2009-2013","Number","Median Home Value",224500
"Thomaston","0900575730","2009-2013","Number","Margins of Error",14213
"Thomaston","0900575730","2009-2013","Ratio to State Median","Median Home Value",0.8
"Thomaston","0900575730","2009-2013","Ratio to State Median","Margins of Error",0.05
"Thomaston","0900575730","2010-2014","Number","Median Home Value",226500
"Thomaston","0900575730","2010-2014","Number","Margins of Error",15753
"Thomaston","0900575730","2010-2014","Ratio to State Median","Median Home Value",0.83
"Thomaston","0900575730","2010-2014","Ratio to State Median","Margins of Error",0.06
"Thomaston","0900575730","2011-2015","Number","Median Home Value",209200
"Thomaston","0900575730","2011-2015","Number","Margins of Error",16812
"Thomaston","0900575730","2011-2015","Ratio to State Median","Median Home Value",0.77
"Thomaston","0900575730","2011-2015","Ratio to State Median","Margins of Error",0.06
"Thomaston","0900575730","2012-2016","Number","Median Home Value",205100
"Thomaston","0900575730","2012-2016","Number","Margins of Error",14333
"Thomaston","0900575730","2012-2016","Ratio to State Median","Median Home Value",0.76
"Thomaston","0900575730","2012-2016","Ratio to State Median","Margins of Error",0.05
"Thomaston","0900575730","2013-2017","Number","Median Home Value",199400
"Thomaston","0900575730","2013-2017","Number","Margins of Error",14030
"Thomaston","0900575730","2013-2017","Ratio to State Median","Median Home Value",0.74
"Thomaston","0900575730","2013-2017","Ratio to State Median","Margins of Error",0.05
"Thompson","0901575870","2006-2010","Number","Median Home Value",232600
"Thompson","0901575870","2006-2010","Number","Margins of Error",10233
"Thompson","0901575870","2006-2010","Ratio to State Median","Median Home Value",0.78
"Thompson","0901575870","2006-2010","Ratio to State Median","Margins of Error",0.03
"Thompson","0901575870","2007-2011","Number","Median Home Value",230500
"Thompson","0901575870","2007-2011","Number","Margins of Error",12491
"Thompson","0901575870","2007-2011","Ratio to State Median","Median Home Value",0.79
"Thompson","0901575870","2007-2011","Ratio to State Median","Margins of Error",0.04
"Thompson","0901575870","2008-2012","Number","Median Home Value",217700
"Thompson","0901575870","2008-2012","Number","Margins of Error",11900
"Thompson","0901575870","2008-2012","Ratio to State Median","Median Home Value",0.76
"Thompson","0901575870","2008-2012","Ratio to State Median","Margins of Error",0.04
"Thompson","0901575870","2009-2013","Number","Median Home Value",208200
"Thompson","0901575870","2009-2013","Number","Margins of Error",15798
"Thompson","0901575870","2009-2013","Ratio to State Median","Median Home Value",0.75
"Thompson","0901575870","2009-2013","Ratio to State Median","Margins of Error",0.06
"Thompson","0901575870","2010-2014","Number","Median Home Value",195500
"Thompson","0901575870","2010-2014","Number","Margins of Error",10723
"Thompson","0901575870","2010-2014","Ratio to State Median","Median Home Value",0.71
"Thompson","0901575870","2010-2014","Ratio to State Median","Margins of Error",0.04
"Thompson","0901575870","2011-2015","Number","Median Home Value",197200
"Thompson","0901575870","2011-2015","Number","Margins of Error",10251
"Thompson","0901575870","2011-2015","Ratio to State Median","Median Home Value",0.73
"Thompson","0901575870","2011-2015","Ratio to State Median","Margins of Error",0.04
"Thompson","0901575870","2012-2016","Number","Median Home Value",195700
"Thompson","0901575870","2012-2016","Number","Margins of Error",11575
"Thompson","0901575870","2012-2016","Ratio to State Median","Median Home Value",0.73
"Thompson","0901575870","2012-2016","Ratio to State Median","Margins of Error",0.04
"Thompson","0901575870","2013-2017","Number","Median Home Value",204000
"Thompson","0901575870","2013-2017","Number","Margins of Error",19381
"Thompson","0901575870","2013-2017","Ratio to State Median","Median Home Value",0.76
"Thompson","0901575870","2013-2017","Ratio to State Median","Margins of Error",0.07
"Tolland","0901376290","2006-2010","Number","Median Home Value",295700
"Tolland","0901376290","2006-2010","Number","Margins of Error",12203
"Tolland","0901376290","2006-2010","Ratio to State Median","Median Home Value",1
"Tolland","0901376290","2006-2010","Ratio to State Median","Margins of Error",0.04
"Tolland","0901376290","2007-2011","Number","Median Home Value",294300
"Tolland","0901376290","2007-2011","Number","Margins of Error",11178
"Tolland","0901376290","2007-2011","Ratio to State Median","Median Home Value",1
"Tolland","0901376290","2007-2011","Ratio to State Median","Margins of Error",0.04
"Tolland","0901376290","2008-2012","Number","Median Home Value",285300
"Tolland","0901376290","2008-2012","Number","Margins of Error",10608
"Tolland","0901376290","2008-2012","Ratio to State Median","Median Home Value",1
"Tolland","0901376290","2008-2012","Ratio to State Median","Margins of Error",0.04
"Tolland","0901376290","2009-2013","Number","Median Home Value",275500
"Tolland","0901376290","2009-2013","Number","Margins of Error",12846
"Tolland","0901376290","2009-2013","Ratio to State Median","Median Home Value",0.99
"Tolland","0901376290","2009-2013","Ratio to State Median","Margins of Error",0.05
"Tolland","0901376290","2010-2014","Number","Median Home Value",277700
"Tolland","0901376290","2010-2014","Number","Margins of Error",13504
"Tolland","0901376290","2010-2014","Ratio to State Median","Median Home Value",1.01
"Tolland","0901376290","2010-2014","Ratio to State Median","Margins of Error",0.05
"Tolland","0901376290","2011-2015","Number","Median Home Value",281100
"Tolland","0901376290","2011-2015","Number","Margins of Error",14135
"Tolland","0901376290","2011-2015","Ratio to State Median","Median Home Value",1.04
"Tolland","0901376290","2011-2015","Ratio to State Median","Margins of Error",0.05
"Tolland","0901376290","2012-2016","Number","Median Home Value",277900
"Tolland","0901376290","2012-2016","Number","Margins of Error",15015
"Tolland","0901376290","2012-2016","Ratio to State Median","Median Home Value",1.03
"Tolland","0901376290","2012-2016","Ratio to State Median","Margins of Error",0.06
"Tolland","0901376290","2013-2017","Number","Median Home Value",286600
"Tolland","0901376290","2013-2017","Number","Margins of Error",16201
"Tolland","0901376290","2013-2017","Ratio to State Median","Median Home Value",1.06
"Tolland","0901376290","2013-2017","Ratio to State Median","Margins of Error",0.06
"Torrington","0900576570","2006-2010","Number","Median Home Value",189800
"Torrington","0900576570","2006-2010","Number","Margins of Error",3772
"Torrington","0900576570","2006-2010","Ratio to State Median","Median Home Value",0.64
"Torrington","0900576570","2006-2010","Ratio to State Median","Margins of Error",0.01
"Torrington","0900576570","2007-2011","Number","Median Home Value",187500
"Torrington","0900576570","2007-2011","Number","Margins of Error",4960
"Torrington","0900576570","2007-2011","Ratio to State Median","Median Home Value",0.64
"Torrington","0900576570","2007-2011","Ratio to State Median","Margins of Error",0.02
"Torrington","0900576570","2008-2012","Number","Median Home Value",183200
"Torrington","0900576570","2008-2012","Number","Margins of Error",4444
"Torrington","0900576570","2008-2012","Ratio to State Median","Median Home Value",0.64
"Torrington","0900576570","2008-2012","Ratio to State Median","Margins of Error",0.02
"Torrington","0900576570","2009-2013","Number","Median Home Value",180300
"Torrington","0900576570","2009-2013","Number","Margins of Error",4817
"Torrington","0900576570","2009-2013","Ratio to State Median","Median Home Value",0.65
"Torrington","0900576570","2009-2013","Ratio to State Median","Margins of Error",0.02
"Torrington","0900576570","2010-2014","Number","Median Home Value",172800
"Torrington","0900576570","2010-2014","Number","Margins of Error",3527
"Torrington","0900576570","2010-2014","Ratio to State Median","Median Home Value",0.63
"Torrington","0900576570","2010-2014","Ratio to State Median","Margins of Error",0.01
"Torrington","0900576570","2011-2015","Number","Median Home Value",167700
"Torrington","0900576570","2011-2015","Number","Margins of Error",3124
"Torrington","0900576570","2011-2015","Ratio to State Median","Median Home Value",0.62
"Torrington","0900576570","2011-2015","Ratio to State Median","Margins of Error",0.01
"Torrington","0900576570","2012-2016","Number","Median Home Value",162300
"Torrington","0900576570","2012-2016","Number","Margins of Error",3430
"Torrington","0900576570","2012-2016","Ratio to State Median","Median Home Value",0.6
"Torrington","0900576570","2012-2016","Ratio to State Median","Margins of Error",0.01
"Torrington","0900576570","2013-2017","Number","Median Home Value",160200
"Torrington","0900576570","2013-2017","Number","Margins of Error",3699
"Torrington","0900576570","2013-2017","Ratio to State Median","Median Home Value",0.59
"Torrington","0900576570","2013-2017","Ratio to State Median","Margins of Error",0.01
"Trumbull","0900177200","2006-2010","Number","Median Home Value",468100
"Trumbull","0900177200","2006-2010","Number","Margins of Error",7068
"Trumbull","0900177200","2006-2010","Ratio to State Median","Median Home Value",1.58
"Trumbull","0900177200","2006-2010","Ratio to State Median","Margins of Error",0.02
"Trumbull","0900177200","2007-2011","Number","Median Home Value",450200
"Trumbull","0900177200","2007-2011","Number","Margins of Error",7678
"Trumbull","0900177200","2007-2011","Ratio to State Median","Median Home Value",1.54
"Trumbull","0900177200","2007-2011","Ratio to State Median","Margins of Error",0.03
"Trumbull","0900177200","2008-2012","Number","Median Home Value",429100
"Trumbull","0900177200","2008-2012","Number","Margins of Error",9546
"Trumbull","0900177200","2008-2012","Ratio to State Median","Median Home Value",1.5
"Trumbull","0900177200","2008-2012","Ratio to State Median","Margins of Error",0.03
"Trumbull","0900177200","2009-2013","Number","Median Home Value",409200
"Trumbull","0900177200","2009-2013","Number","Margins of Error",9962
"Trumbull","0900177200","2009-2013","Ratio to State Median","Median Home Value",1.47
"Trumbull","0900177200","2009-2013","Ratio to State Median","Margins of Error",0.04
"Trumbull","0900177200","2010-2014","Number","Median Home Value",399700
"Trumbull","0900177200","2010-2014","Number","Margins of Error",7734
"Trumbull","0900177200","2010-2014","Ratio to State Median","Median Home Value",1.46
"Trumbull","0900177200","2010-2014","Ratio to State Median","Margins of Error",0.03
"Trumbull","0900177200","2011-2015","Number","Median Home Value",396500
"Trumbull","0900177200","2011-2015","Number","Margins of Error",6848
"Trumbull","0900177200","2011-2015","Ratio to State Median","Median Home Value",1.47
"Trumbull","0900177200","2011-2015","Ratio to State Median","Margins of Error",0.03
"Trumbull","0900177200","2012-2016","Number","Median Home Value",392800
"Trumbull","0900177200","2012-2016","Number","Margins of Error",7448
"Trumbull","0900177200","2012-2016","Ratio to State Median","Median Home Value",1.46
"Trumbull","0900177200","2012-2016","Ratio to State Median","Margins of Error",0.03
"Trumbull","0900177200","2013-2017","Number","Median Home Value",394600
"Trumbull","0900177200","2013-2017","Number","Margins of Error",6526
"Trumbull","0900177200","2013-2017","Ratio to State Median","Median Home Value",1.46
"Trumbull","0900177200","2013-2017","Ratio to State Median","Margins of Error",0.02
"Union","0901377830","2006-2010","Number","Median Home Value",258900
"Union","0901377830","2006-2010","Number","Margins of Error",29697
