station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
BDL,1/21/2019 21:25,-72.6825,41.9381,M,M,M,M,15,M,29.99,M,10,M,OVC,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212125Z AUTO ///15KT 10SM OVC110 M16/M23 A2998 RMK T11601230 MADISHF
BDL,1/21/2019 21:30,-72.6825,41.9381,M,M,M,310,21,M,29.99,M,10,M,OVC,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212130Z AUTO 31021KT 10SM OVC110 M16/M23 A2998 RMK T11601230 MADISHF
BDL,1/21/2019 21:35,-72.6825,41.9381,M,M,M,M,17,M,29.99,M,10,M,OVC,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212135Z AUTO ///17KT 10SM OVC110 M16/M23 A2998 RMK T11601230 MADISHF
BDL,1/21/2019 21:40,-72.6825,41.9381,M,M,M,M,23,M,29.99,M,10,M,OVC,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212140Z AUTO ///23KT 10SM OVC110 M15/M23 A2998 RMK T11501230 MADISHF
BDL,1/21/2019 21:45,-72.6825,41.9381,M,M,M,M,20,M,30,M,10,M,OVC,M,M,M,11000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212145Z AUTO ///20KT 10SM OVC110 M16/M23 A3000 RMK T11601230 MADISHF
BDL,1/21/2019 21:50,-72.6825,41.9381,M,M,M,310,23,M,30,M,10,30,FEW,BKN,M,M,4500,11000,M,M,M,M,M,M,M,M,M,M,KBDL 212150Z AUTO 31023G30KT 10SM FEW045 BKN110 M16/M23 A3000 RMK T11601230 MADISHF
BDL,1/21/2019 21:51,-72.6825,41.9381,3.9,-9,54.17,310,25,0,30,1016.3,10,30,FEW,BKN,BKN,BKN,4500,11000,20000,25000,M,M,M,M,33,300,1/21/2019 21:33,-20.23,KBDL 212151Z 31025G30KT 10SM FEW045 BKN110 BKN200 BKN250 M16/M23 A3000 RMK AO2 PK WND 30033/2133 SLP163 T11561228
BDL,1/21/2019 21:55,-72.6825,41.9381,M,M,M,M,17,M,30.01,M,10,M,OVC,M,M,M,12000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212155Z AUTO ///17KT 10SM OVC120 M16/M23 A3001 RMK T11601230 MADISHF
BDL,1/21/2019 22:00,-72.6825,41.9381,M,M,M,300,20,M,30.01,M,10,28,BKN,M,M,M,12000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212200Z AUTO 30020G28KT 10SM BKN120 M16/M23 A3001 RMK T11601230 MADISHF
BDL,1/21/2019 22:05,-72.6825,41.9381,M,M,M,M,16,M,30.02,M,10,M,BKN,M,M,M,12000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212205Z AUTO ///16KT 10SM BKN120 M16/M23 A3002 RMK T11601230 MADISHF
BDL,1/21/2019 22:15,-72.6825,41.9381,M,M,M,300,16,M,30.02,M,10,24,FEW,M,M,M,12000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212215Z AUTO 30016G24KT 10SM FEW120 M16/M23 A3002 RMK T11601230 MADISHF
BDL,1/21/2019 22:20,-72.6825,41.9381,M,M,M,M,M,M,30.02,M,10,M,FEW,M,M,M,12000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212220Z AUTO /////KT 10SM FEW120 M16/M23 A3002 RMK T11601230 MADISHF
BDL,1/21/2019 22:25,-72.6825,41.9381,M,M,M,M,23,M,30.02,M,10,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBDL 212225Z AUTO ///23KT 10SM CLR M16/M24 A3002 RMK T11601240 MADISHF
BDL,1/21/2019 22:30,-72.6825,41.9381,M,M,M,300,22,M,30.03,M,10,M,CLR,M,M,M,M,M,M,M,#NAME?,M,M,M,M,M,M,M,KBDL 212230Z AUTO 30022KT 10SM -SN CLR M16/M24 A3003 RMK T11601240 MADISHF
BDL,1/21/2019 22:35,-72.6825,41.9381,M,M,M,310,20,M,30.03,M,9,M,CLR,M,M,M,M,M,M,M,#NAME?,M,M,M,M,M,M,M,KBDL 212235Z AUTO 31020KT 9SM -SN CLR M16/M24 A3003 RMK T11601240 MADISHF
BDL,1/21/2019 22:40,-72.6825,41.9381,M,M,M,M,19,M,30.03,M,9,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBDL 212240Z AUTO ///19KT 9SM CLR M16/M24 A3003 RMK T11601240 MADISHF
BDL,1/21/2019 22:45,-72.6825,41.9381,M,M,M,M,16,M,30.04,M,10,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBDL 212245Z AUTO ///16KT 10SM CLR M16/M24 A3004 RMK T11601240 MADISHF
BDL,1/21/2019 22:50,-72.6825,41.9381,M,M,M,330,16,M,30.05,M,10,22,FEW,M,M,M,12000,M,M,M,M,M,M,M,M,M,M,M,KBDL 212250Z AUTO 33016G22KT 10SM FEW120 M16/M24 A3004 RMK T11601240 MADISHF
BDL,1/21/2019 22:51,-72.6825,41.9381,3.9,-11.9,46.94,340,16,T,30.05,1018,10,27,FEW,FEW,BKN,BKN,12000,16000,22000,25000,M,M,M,M,37,320,1/21/2019 22:18,-16.21,KBDL 212251Z 34016G27KT 10SM FEW120 FEW160 BKN220 BKN250 M16/M24 A3005 RMK AO2 PK WND 32037/2218 SNB28E38 PRESRR SLP180 P0000 T11561244
BDL,1/21/2019 22:55,-72.6825,41.9381,M,M,M,M,20,M,30.05,M,10,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBDL 212255Z AUTO ///20KT 10SM CLR M16/M25 A3004 RMK T11601250 MADISHF
BDL,1/21/2019 23:00,-72.6825,41.9381,M,M,M,M,16,M,30.06,M,10,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBDL 212300Z AUTO ///16KT 10SM CLR M16/M25 A3005 RMK T11601250 MADISHF
BDL,1/21/2019 23:05,-72.6825,41.9381,M,M,M,320,16,M,30.06,M,10,23,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KBDL 212305Z AUTO 32016G23KT 10SM CLR M16/M25 A3005 RMK T11601250 MADISHF
